SessionID,WindowEnd,WindowNumber,WindowStart
Toto2,1540743150354,6,1540743140354
Toto2,1540743160354,7,1540743150354
Toto2,1540743170354,8,1540743160354
Toto2,1540743180354,9,1540743170354
Toto2,1540743190354,10,1540743180354
Toto2,1540743200354,11,1540743190354
Toto2,1540743210354,12,1540743200354
Toto2,1540743220354,13,1540743210354
Toto2,1540743230354,14,1540743220354
Toto2,1540743240354,15,1540743230354
Toto2,1540743250354,16,1540743240354
Toto2,1540743260354,17,1540743250354
Toto2,1540743270354,18,1540743260354
Toto2,1540743280354,19,1540743270354
Toto2,1540743290354,20,1540743280354
Toto5,1540751982949,0,1540751972949
Toto5,1540751992949,1,1540751982949
Toto5,1540752002949,2,1540751992949
Toto5,1540752012949,3,1540752002949
Toto5,1540752022949,4,1540752012949
Toto5,1540752032949,5,1540752022949
Toto5,1540752042949,6,1540752032949
Toto5,1540752052949,7,1540752042949
Toto5,1540752062949,8,1540752052949
Toto5,1540752072949,9,1540752062949
Toto5,1540752082949,10,1540752072949
Toto5,1540752092949,11,1540752082949
Toto5,1540752102949,12,1540752092949
Toto5,1540752112949,13,1540752102949
Toto5,1540752122949,14,1540752112949
Toto5,1540752132949,15,1540752122949
Toto5,1540752142949,16,1540752132949
Toto5,1540752152949,17,1540752142949
Toto5,1540752162949,18,1540752152949
Toto5,1540752172949,19,1540752162949
Toto5,1540752182949,20,1540752172949
Toto5,1540752192949,21,1540752182949
Toto5,1540752202949,22,1540752192949
Toto5,1540752212949,23,1540752202949
Toto5,1540752222949,24,1540752212949
Toto6,1540752375953,0,1540752365953
Toto6,1540752385953,1,1540752375953
Toto6,1540752395953,2,1540752385953
Toto6,1540752405953,3,1540752395953
Toto6,1540752415953,4,1540752405953
Toto6,1540752425953,5,1540752415953
Toto6,1540752435953,6,1540752425953
Toto6,1540752445953,7,1540752435953
Toto6,1540752455953,8,1540752445953
Toto6,1540752465953,9,1540752455953
Toto6,1540752475953,10,1540752465953
Toto6,1540752485953,11,1540752475953
Toto6,1540752495953,12,1540752485953
Toto6,1540752505953,13,1540752495953
Toto6,1540752515953,14,1540752505953
Toto6,1540752525953,15,1540752515953
Toto6,1540752535953,16,1540752525953
Toto6,1540752545953,17,1540752535953
Toto6,1540752555953,18,1540752545953
Toto6,1540752565953,19,1540752555953
Toto6,1540752575953,20,1540752565953
Toto7,1540817907968,0,1540817897968
Toto7,1540817917968,1,1540817907968
Toto7,1540817927968,2,1540817917968
Toto7,1540817937968,3,1540817927968
Toto7,1540817947968,4,1540817937968
Toto7,1540817957968,5,1540817947968
